year,doy,tmit,nied,color
2024,172,1698.4,265,black
2024,173,1718.4,267,black
2024,174,1737.2,275,black
2024,175,1755.8,275,black
2024,176,1775.2,275,black
2024,177,1796.5,275,black
2024,178,1821.0,275,black
2024,179,1844.8,278,black
2024,180,1867.4,280,black
2024,181,1890.5,281,black
2024,182,1911.7,284,black
2024,183,1928.5,292,black
2024,184,1943.4,294,black
2024,185,1958.3,294,black
2024,186,1973.5,294,black
2024,187,1989.9,294,black
2024,188,2011.6,294,black
2024,189,2030.4,294,black
2024,190,2051.3,294,black
2024,191,2076.2,294,black
2024,192,2099.3,331,black
2024,193,2121.1,331,black
2024,194,2141.1,348,black
2024,195,2158.6,348,black
2024,196,2177.4,348,black
2024,197,2199.8,348,black
2024,198,2221.1,348,black
2024,199,2240.2,348,black
2024,200,2260.4,348,black
2024,201,2283.1,348,black
2024,202,2306.8,348,black
2024,203,2330.5,348,black
2024,204,2350.3,348,black
2024,205,2369.5,350,black
2024,206,2388.3,350,black
2024,207,2405.8,350,black
2024,208,2425.4,352,black
2024,209,2445.1,380,black
2024,210,2463.1,383,black
2024,211,2481.2,383,black
2024,212,2502.0,383,black
2024,213,2525.4,383,black
2024,214,2548.3,383,black
2024,215,2567.7,383,black
2024,216,2588.1,387,black
2024,217,2607.5,393,black
2024,218,2625.7,393,black
2024,219,2646.0,393,black
2024,220,2668.1,393,black
2024,221,2688.1,393,black
2024,222,2707.8,394,black
2024,223,2728.5,394,black
2024,224,2749.6,394,black
2024,225,2770.9,394,black
2024,226,2793.7,394,black
2024,227,2817.9,395,black
2024,228,2841.2,395,black
2024,229,2864.9,395,black
2024,230,2888.1,395,black
2024,231,2908.1,395,black
2024,232,2926.7,395,black
2024,233,2947.4,395,black
2024,234,2966.9,395,black
2024,235,2985.4,395,black
2024,236,3008.5,395,black
2024,237,3033.9,395,black
2024,238,3054.4,395,black
2024,239,3073.6,395,black
2024,240,3093.0,395,black
2024,241,3115.4,395,black
2024,242,3142.2,395,black
2024,243,3164.8,395,black
2024,244,3183.7,395,black
2024,245,3202.9,395,black
2024,246,3222.7,395,black
2024,247,3247.0,395,black
2024,248,3273.1,395,black
2024,249,3298.4,395,black
2024,250,3321.6,395,black
2024,251,3345.0,395,black
2024,252,3369.7,397,black
2024,253,3387.3,405,black
2024,254,3403.5,405,black
2024,255,3417.4,405,black
2024,256,3428.7,405,black
2024,257,3440.4,405,black
2024,258,3453.8,405,black
2024,259,3467.1,406,black
2024,260,3481.7,412,black
2024,261,3500.6,412,black
2024,262,3519.1,412,black
2024,263,3537.3,412,black
2024,264,3554.2,412,black
2024,265,3570.6,412,black
2024,266,3587.6,412,black
2024,267,3605.6,412,black
2024,268,3620.2,421,black
2024,269,3635.1,427,black
2024,270,3651.2,428,black
2024,271,3666.8,428,black
2024,272,3678.5,428,black
2024,273,3687.7,428,black
2024,274,3697.8,428,black
2024,275,3707.6,438,black
2024,276,3717.2,442,black
2024,277,3727.9,442,black
2024,278,3738.8,443,black
2024,279,3748.8,443,black
2024,280,3757.5,443,black
2024,281,3768.4,443,black
2024,282,3784.2,452,black
2024,283,3799.4,453,black
2024,284,3814.0,453,black
2024,285,3822.6,453,black
2024,286,3830.9,455,black
2024,287,3840.7,455,black
2024,288,3849.3,455,black
2024,289,3856.2,455,black
2024,290,3864.8,455,black
2024,291,3875.6,455,black
2024,292,3887.1,455,black
2024,293,3900.1,455,black
2024,294,3913.2,455,black
2024,295,3929.0,455,black
2024,296,3941.3,455,black
2024,297,3951.3,455,black
2024,298,3960.9,455,black
2024,299,3972.0,455,black
2024,300,3983.8,455,black
2024,301,3994.5,455,black
2024,302,4006.1,456,black
2024,303,4019.1,456,black
2024,304,4032.1,456,black
2024,305,4043.4,456,black
2024,306,4054.0,456,black
2024,307,4061.1,456,black
2024,308,4066.0,456,black
2024,309,4074.0,456,black
2024,310,4079.5,456,black
2024,311,4083.2,456,black
2024,312,4087.7,456,black
2024,313,4092.7,456,black
2024,314,4096.6,456,black
2024,315,4097.8,456,black
2024,316,4101.7,456,black
2024,317,4106.2,456,black
2024,318,4111.3,456,black
2024,319,4117.1,456,black
